# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.000934985
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]	[D_ell^TT]	[D_ell^TE]	[D_ell^EE]
3.000000000000000000e+01 9.297251172774897441e+02 1.615735733976754185e+00 1.867137657416369917e-02
3.100000000000000000e+01 9.457136008496435124e+02 1.635673679716057816e+00 2.091166066969148141e-02
3.200000000000000000e+01 9.618655190824737247e+02 1.648158165309091761e+00 2.334124149802572351e-02
3.300000000000000000e+01 9.782198745384276890e+02 1.654055469491982233e+00 2.596741456280826990e-02
3.400000000000000000e+01 9.947701411407617798e+02 1.654190210513517556e+00 2.879679568329948647e-02
3.500000000000000000e+01 1.011516273023944905e+03 1.648095890209554382e+00 3.183429136842790691e-02
3.600000000000000000e+01 1.028419784380281953e+03 1.634820165749747201e+00 3.508365610745908109e-02
3.700000000000000000e+01 1.045417728712164262e+03 1.613354034215151556e+00 3.854827712459307776e-02
3.800000000000000000e+01 1.062538710758831712e+03 1.583020345793662020e+00 4.223318754030676303e-02
3.900000000000000000e+01 1.079818019318712004e+03 1.543202210885441295e+00 4.614365003250567310e-02
4.000000000000000000e+01 1.097262434944921324e+03 1.493234643132702155e+00 5.028458856989043851e-02
4.100000000000000000e+01 1.114861410103577327e+03 1.432531660493876924e+00 5.466062908888377758e-02
4.200000000000000000e+01 1.132632761145457380e+03 1.361025362540132511e+00 5.927629255883559017e-02
4.300000000000000000e+01 1.150586407298161930e+03 1.278864177917778511e+00 6.413582618060260920e-02
4.400000000000000000e+01 1.168709038104854017e+03 1.186300298557752875e+00 6.924312699551229966e-02
4.500000000000000000e+01 1.186976710752115878e+03 1.083594864824523274e+00 7.460177344849934500e-02
4.600000000000000000e+01 1.205402426479162386e+03 9.706864390557451427e-01 8.021517519467130652e-02
4.700000000000000000e+01 1.223998956604125397e+03 8.474330047277551792e-01 8.608643641533426927e-02
4.800000000000000000e+01 1.242763878401839975e+03 7.137036663712307272e-01 9.221829421229139900e-02
4.900000000000000000e+01 1.261678183668645715e+03 5.693784999452785600e-01 9.861310288330764340e-02
5.000000000000000000e+01 1.280718402113078128e+03 4.143131551766990883e-01 1.052727776309232560e-01
5.100000000000000000e+01 1.299900079142621735e+03 2.482216824584631276e-01 1.121986441566365511e-01
5.200000000000000000e+01 1.319243694449659870e+03 7.076164199979663449e-02 1.193915210599392485e-01
5.300000000000000000e+01 1.338761441128679962e+03 -1.184351934021907610e-01 1.268517396215326221e-01
5.400000000000000000e+01 1.358456470232880747e+03 -3.197646467194664721e-01 1.345791261697732166e-01
5.500000000000000000e+01 1.378327624609013355e+03 -5.335825352075811434e-01 1.425732116601114985e-01
5.600000000000000000e+01 1.398386748169610655e+03 -7.599780572810922452e-01 1.508339617788399256e-01
