# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.005842680
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]   [D_ell^TT]      [D_ell^TE]    [D_ell^EE]
2.600000000000000000e+01 9.696563135735436845e+02 1.561817279259975599e+00 1.184114002261574781e-02
2.700000000000000000e+01 9.852996626033192342e+02 1.612597424145578273e+00 1.350707209577591862e-02
2.800000000000000000e+01 1.001296714834028990e+03 1.655735847771711455e+00 1.531411211374006723e-02
2.900000000000000000e+01 1.017492485842525070e+03 1.690105671218690375e+00 1.726659009129392561e-02
3.000000000000000000e+01 1.033925157930102841e+03 1.715486553461484709e+00 1.937819169580152004e-02
3.100000000000000000e+01 1.050621410939495490e+03 1.732100699847956449e+00 2.166745503972405951e-02
3.200000000000000000e+01 1.067544090940847354e+03 1.740389138738442032e+00 2.415257772367064223e-02
3.300000000000000000e+01 1.084718362842605075e+03 1.740873905137473532e+00 2.683947477377826921e-02
3.400000000000000000e+01 1.102135380945207999e+03 1.734275014057510722e+00 2.972924068800338396e-02
3.500000000000000000e+01 1.119744803694372422e+03 1.721228940726824863e+00 3.282247986407508394e-02
3.600000000000000000e+01 1.137572594580041823e+03 1.701134470333337534e+00 3.612405478981049051e-02
3.700000000000000000e+01 1.155632878406673399e+03 1.672900423667340153e+00 3.963987449567385468e-02
3.800000000000000000e+01 1.173889755293631879e+03 1.635232028644556745e+00 4.337561386823339526e-02
3.900000000000000000e+01 1.192285059900577380e+03 1.586849842759646689e+00 4.733660020431747911e-02
4.000000000000000000e+01 1.210846335324602478e+03 1.527273170961025217e+00 5.152747019964309255e-02
4.100000000000000000e+01 1.229606515855641874e+03 1.456278420603192680e+00 5.595236580588769382e-02
4.200000000000000000e+01 1.248570970522115886e+03 1.373690748908462655e+00 6.061499454641235823e-02
4.300000000000000000e+01 1.267728822123029886e+03 1.279419750698040703e+00 6.551866418399061864e-02
4.400000000000000000e+01 1.287098140505854417e+03 1.173573318480468419e+00 7.066646017634463373e-02
4.500000000000000000e+01 1.306689846711808968e+03 1.056383909784086361e+00 7.606108047912228665e-02
4.600000000000000000e+01 1.326492660213233648e+03 9.281833761054393284e-01 8.170475905039115139e-02
4.700000000000000000e+01 1.346471043354872336e+03 7.894077857969306056e-01 8.759924414136276150e-02
4.800000000000000000e+01 1.366583618427185684e+03 6.404172151283485936e-01 9.374607591034554710e-02
4.900000000000000000e+01 1.386849354214341702e+03 4.808837984207271488e-01 1.001475624575622614e-01
5.000000000000000000e+01 1.407296504943068612e+03 3.102394630008281640e-01 1.068060416236240595e-01
5.100000000000000000e+01 1.427942780440550905e+03 1.278413962167677942e-01 1.137235994086436691e-01
5.200000000000000000e+01 1.448794335097759131e+03 -6.703257207361527914e-02 1.209020635345530031e-01
5.300000000000000000e+01 1.469851490544418766e+03 -2.750375339293696375e-01 1.283426672585047945e-01
5.400000000000000000e+01 1.491129958565838251e+03 -4.962673606516659341e-01 1.360449541415982844e-01
5.500000000000000000e+01 1.512643313415078183e+03 -7.306298278624669962e-01 1.440075804292942629e-01
5.600000000000000000e+01 1.534396023488429364e+03 -9.779848690788015553e-01 1.522286003412859356e-01
5.700000000000000000e+01 1.556382722624664211e+03 -1.238142859761712566e+00 1.607054458078665538e-01
5.800000000000000000e+01 1.578587481404290202e+03 -1.510862901365203737e+00 1.694349062062966982e-01
5.900000000000000000e+01 1.600991847427241737e+03 -1.795917805276221024e+00 1.784137300627303413e-01
6.000000000000000000e+01 1.623602801575497779e+03 -2.093310564642731908e+00 1.876406393538815609e-01
6.100000000000000000e+01 1.646430017690187469e+03 -2.403105210391123236e+00 1.971147480044241340e-01
6.200000000000000000e+01 1.669477241790247945e+03 -2.725365065373217988e+00 2.068349818543568364e-01
6.300000000000000000e+01 1.692741860625184700e+03 -3.060153289428480861e+00 2.168000794789492480e-01
6.400000000000000000e+01 1.716214470227826951e+03 -3.407533424446220760e+00 2.270085930086875037e-01
6.500000000000000000e+01 1.739884978493603739e+03 -3.767526366524554415e+00 2.374580195697758023e-01
6.600000000000000000e+01 1.763763384188590635e+03 -4.139969466685161414e+00 2.481419799646544799e-01
6.700000000000000000e+01 1.787862640326799919e+03 -4.524628476309096037e+00 2.590524421851272963e-01
6.800000000000000000e+01 1.812192264421835034e+03 -4.921237825811443756e+00 2.701805150090870189e-01
6.900000000000000000e+01 1.836758089809627108e+03 -5.329499950881071868e+00 2.815164245021553047e-01
7.000000000000000000e+01 1.861562016971163985e+03 -5.749084618720352147e+00 2.930494905193222199e-01
7.100000000000000000e+01 1.886601764855220381e+03 -6.179628254284900812e+00 3.047681032065860940e-01
7.200000000000000000e+01 1.911874018610150870e+03 -6.620777776662775338e+00 3.166609363065195359e-01
