# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 9.951140073e-01
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]	  [D_ell^TT]      [D_ell^TE]	[D_ell^EE]
2.330000000000000000e+02 5.462937070072610368e+03 3.361948865547109477e+01 1.323620735308146834e+00
2.340000000000000000e+02 5.456218638969002313e+03 3.523946629016252530e+01 1.369909342675545760e+00
2.350000000000000000e+02 5.448914773040521141e+03 3.686192429203087784e+01 1.418118589764534088e+00
2.360000000000000000e+02 5.441028274809104005e+03 3.848618340430678586e+01 1.468272572298105816e+00
2.370000000000000000e+02 5.432562155316044482e+03 4.011155038384463012e+01 1.520395245968764630e+00
2.380000000000000000e+02 5.423519636023506791e+03 4.173731790268563202e+01 1.574510422051240921e+00
2.390000000000000000e+02 5.413904150716034565e+03 4.336276444962096832e+01 1.630641763015209689e+00
2.400000000000000000e+02 5.403719347402053245e+03 4.498715423175487160e+01 1.688812778138012449e+00
2.410000000000000000e+02 5.392969090215386132e+03 4.660973707606779470e+01 1.749046819117377138e+00
2.420000000000000000e+02 5.381657461316751323e+03 4.822974833097944014e+01 1.811367075684136463e+00
2.430000000000000000e+02 5.369788762795278672e+03 4.984640876791199560e+01 1.875796571214948694e+00
2.440000000000000000e+02 5.357367518570014909e+03 5.145892448285314913e+01 1.942358158345017127e+00
2.450000000000000000e+02 5.344398476291431507e+03 5.306648679791924650e+01 2.011074514580810213e+00
2.460000000000000000e+02 5.330886609242929808e+03 5.466827216291840585e+01 2.081968137912778349e+00
2.470000000000000000e+02 5.316837118242351607e+03 5.626344205691363953e+01 2.155061342428079563e+00
2.480000000000000000e+02 5.302255433543488834e+03 5.785114288978597585e+01 2.230376253923293195e+00
2.490000000000000000e+02 5.287147216737588678e+03 5.943050590379750275e+01 2.307934805517142252e+00
2.500000000000000000e+02 5.271518166216426835e+03 6.100070014701280030e+01 2.387755944136753516e+00
2.510000000000000000e+02 5.255373417186433471e+03 6.256109498703504102e+01 2.469847080246883930e+00
2.520000000000000000e+02 5.238718110715381044e+03 6.411110678671458629e+01 2.554212136059677007e+00
2.530000000000000000e+02 5.221557588572421082e+03 6.565014667942081417e+01 2.640854280580707591e+00
2.540000000000000000e+02 5.203897394753940716e+03 6.717762057209748150e+01 2.729775919887928115e+00
2.550000000000000000e+02 5.185743277009403755e+03 6.869292914831761721e+01 2.820978687410586883e+00
2.560000000000000000e+02 5.167101188367208124e+03 7.019546787133882049e+01 2.914463434208173442e+00
