# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.001913951
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]   [D_ell^TT]      [D_ell^TE]    [D_ell^EE]
5.200000000000000000e+01 1.446182875226917076e+03 1.133545160591094142e-01 1.329562397669657448e-01
5.300000000000000000e+01 1.466871062645104985e+03 -9.717840691952504828e-02 1.411891546101753381e-01
5.400000000000000000e+01 1.487758634051305989e+03 -3.209376515437640243e-01 1.497102542789380264e-01
5.500000000000000000e+01 1.508841628308623513e+03 -5.581020268005416618e-01 1.585181497149169838e-01
5.600000000000000000e+01 1.530132625746010490e+03 -8.087690472740636238e-01 1.676131435255455437e-01
5.700000000000000000e+01 1.551643087973950969e+03 -1.073001357031508007e+00 1.769958251598478527e-01
5.800000000000000000e+01 1.573376436075114043e+03 -1.350843731021400984e+00 1.866665501738772326e-01
5.900000000000000000e+01 1.595327431754226382e+03 -1.642322806751174147e+00 1.966254384183217518e-01
6.000000000000000000e+01 1.617481558487942721e+03 -1.947446815964716693e+00 2.068723722261093523e-01
6.100000000000000000e+01 1.639822824129587389e+03 -2.266185668498441608e+00 2.174063365192875352e-01
6.200000000000000000e+01 1.662360615329815573e+03 -2.598406586967415777e+00 2.282232701431125277e-01
6.300000000000000000e+01 1.685107800150608682e+03 -2.943923482700495864e+00 2.393177268298098403e-01
6.400000000000000000e+01 1.708072493832905138e+03 -3.302514454617650586e+00 2.506834684776874100e-01
6.500000000000000000e+01 1.731257707152866487e+03 -3.673920897496995686e+00 2.623134424583372093e-01
6.600000000000000000e+01 1.754660994778146687e+03 -4.057846610241830021e+00 2.741997589238370781e-01
6.700000000000000000e+01 1.778274103624157988e+03 -4.453956904147679197e+00 2.863336681139521112e-01
6.800000000000000000e+01 1.802088314475475272e+03 -4.861940068702469198e+00 2.987063521284061829e-01
6.900000000000000000e+01 1.826112509729312933e+03 -5.281708224813754349e+00 3.113115372681345416e-01
7.000000000000000000e+01 1.850358151765537286e+03 -5.713235754777424624e+00 3.241433726888835465e-01
7.100000000000000000e+01 1.874833711263157738e+03 -6.156501236182508663e+00 3.371956609418453321e-01
7.200000000000000000e+01 1.899544461164401127e+03 -6.611488145000034677e+00 3.504618561111687014e-01
7.300000000000000000e+01 1.924492270638783339e+03 -7.078185558671888700e+00 3.639350619514694074e-01
7.400000000000000000e+01 1.949675399047176825e+03 -7.556588859199664832e+00 3.776080300253394917e-01
7.500000000000000000e+01 1.975088289905887677e+03 -8.046700436233525267e+00 3.914731578408590096e-01
7.600000000000000000e+01 2.000725127738039873e+03 -8.548467914191318684e+00 4.055222005561582299e-01
7.700000000000000000e+01 2.026591712886403457e+03 -9.061584274602431321e+00 4.197453495164126802e-01
7.800000000000000000e+01 2.052695387864895110e+03 -9.585652393139215022e+00 4.341319815191751474e-01
7.900000000000000000e+01 2.079041339785031596e+03 -1.012024371340229578e+01 4.486709227295522240e-01
8.000000000000000000e+01 2.105632471481054381e+03 -1.066489766888906487e+01 4.633504409441752125e-01
8.100000000000000000e+01 2.132469272635053130e+03 -1.121912110496218595e+01 4.781582378551702539e-01
8.200000000000000000e+01 2.159549690902087605e+03 -1.178238770081807552e+01 4.930814413141301200e-01
8.300000000000000000e+01 2.186869003035316837e+03 -1.235413739145540823e+01 5.081065975960837866e-01
8.400000000000000000e+01 2.214422177420399748e+03 -1.293382540130149749e+01 5.232201638177225167e-01
8.500000000000000000e+01 2.242211693982626457e+03 -1.352107995099412108e+01 5.384100959316096002e-01
8.600000000000000000e+01 2.270240790396537250e+03 -1.411556975680979953e+01 5.536645110281522841e-01
8.700000000000000000e+01 2.298511000219107700e+03 -1.471695699555321646e+01 5.689712112478439998e-01
8.800000000000000000e+01 2.327022065887297686e+03 -1.532489756033508144e+01 5.843176844511894785e-01
8.900000000000000000e+01 2.355771851715592220e+03 -1.593904131634998222e+01 5.996911048886275353e-01
9.000000000000000000e+01 2.384756256893561840e+03 -1.655903235665428852e+01 6.150783338704581826e-01
9.100000000000000000e+01 2.413969128483402983e+03 -1.718450925794397577e+01 6.304659204367646375e-01
9.200000000000000000e+01 2.443402174417487913e+03 -1.781510533633255022e+01 6.458401020273398796e-01
